EmplID,ItemType,AidYear,Total
949941661,000000130000,2013,1464.00
949396519,000000130000,2013,2000.00
951354735,000000130000,2013,3000.00
943411332,000000742002,2013,2500.00
953123203,000000130000,2013,3000.00
948158022,000000130000,2013,3000.00
950147854,000000742000,2013,4000.00
949174128,000000130000,2013,4000.00
953111204,000000130000,2013,2000.00
011559050,000000130100,2013,3000.00
946412447,000000130000,2013,3000.00
951255844,000000130000,2013,3000.00
953334115,000000130000,2013,2000.00
010414569,000000130000,2013,2000.00
951927073,000000742001,2013,3000.00
951038354,000000130000,2013,3000.00
939721139,000000742000,2013,3000.00
951214959,000000130000,2013,3000.00
011442037,000000742000,2013,3000.00
953250408,000000130000,2013,400.00
011009748,000000130100,2013,3000.00
953214710,000000130000,2013,1000.00
949451236,000000130000,2013,3000.00
952988796,000000742000,2013,2000.00
010471652,000000130000,2013,3000.00
010471652,000000742000,2013,596.00
011305667,000000130200,2013,2000.00
951114989,000000130000,2013,3000.00
011437006,000000130100,2013,3000.00
010422811,000000130000,2013,3000.00
953410711,000000130000,2013,3000.00
951129939,000000130000,2013,4000.00
949314619,000000130000,2013,3000.00
953155508,000000130000,2013,1872.23
946152915,000000130000,2013,3000.00
953372673,000000130000,2013,1500.00
011394301,000000742000,2013,3000.00
949264062,000000130000,2013,2000.00
949326423,000000130000,2013,3000.00
953098321,000000130000,2013,246.68
010396161,000000742002,2013,4500.00
946776512,000000130000,2013,1000.00
010482650,000000130100,2013,2000.00
949093528,000000130000,2013,1300.00
951136738,000000130000,2013,3000.00
010421745,000000130000,2013,2000.00
945034460,000000130000,2013,904.00
953139024,000000130000,2013,3000.00
946509960,000000130000,2013,3000.00
945252340,000000130000,2013,2000.00
950804965,000000130000,2013,3000.00
953137217,000000130000,2013,3000.00
951075989,000000130000,2013,3000.00
953414052,000000130000,2013,3000.00
947224349,000000742001,2013,3000.00
011844543,000000742002,2013,1380.00
938560161,000000742001,2013,3000.00
948820554,000000130000,2013,3000.00
010436448,000000130000,2013,3000.00
952100688,000000742000,2013,3000.00
953398075,000000130000,2013,620.00
949324512,000000130000,2013,822.00
010282359,000000742000,2013,3000.00
010432587,000000130000,2013,2000.00
949225855,000000130000,2013,3000.00
949173907,000000130000,2013,3000.00
951069632,000000130000,2013,3000.00
951182589,000000130000,2013,3000.00
010485874,000000130000,2013,3000.00
951959508,000000130000,2013,3000.00
949128290,000000130000,2013,3000.00
951116016,000000130000,2013,2000.00
951499048,000000130000,2013,3000.00
948904638,000000742000,2013,3000.00
953223589,000000742000,2013,2000.00
948904248,000000742000,2013,3000.00
949345013,000000742001,2013,3000.00
011290860,000000130100,2013,2000.00
951055007,000000130000,2013,3000.00
951286043,000000130000,2013,2000.00
011315651,000000130100,2013,2000.00
951037223,000000742000,2013,3000.00
951139416,000000742000,2013,3000.00
011293824,000000130100,2013,3000.00
953387272,000000130000,2013,3000.00
937130161,000000742002,2013,2500.00
010359644,000000130200,2013,3000.00
953107928,000000130000,2013,3000.00
950968141,000000742000,2013,1000.00
